"","symbol","company","date","open","high","low","close","volume","adjusted"
"32","AAPL","Apple Inc.",2020-08-14,114.830002,115,113.044998,114.907501,165565200,114.709602
"33","AAPL","Apple Inc.",2020-08-17,116.0625,116.087502,113.962502,114.607498,119561600,114.41011
"34","AAPL","Apple Inc.",2020-08-18,114.352501,116,114.0075,115.5625,105633600,115.363472
"35","AAPL","Apple Inc.",2020-08-19,115.982498,117.162498,115.610001,115.707497,145538000,115.508217
"36","AAPL","Apple Inc.",2020-08-20,115.75,118.392502,115.732498,118.275002,126907200,118.071297
"37","AAPL","Apple Inc.",2020-08-21,119.262497,124.8675,119.25,124.370003,338054800,124.1558
"38","AAPL","Apple Inc.",2020-08-24,128.697495,128.785004,123.9375,125.857498,345937600,125.640739
"39","AAPL","Apple Inc.",2020-08-25,124.697502,125.18,123.052498,124.824997,211495600,124.610016
"40","AAPL","Apple Inc.",2020-08-26,126.18,126.9925,125.082497,126.522499,163022400,126.304596
"41","AAPL","Apple Inc.",2020-08-27,127.142502,127.485001,123.832497,125.010002,155552400,124.794701
"42","AAPL","Apple Inc.",2020-08-28,126.012497,126.442497,124.577499,124.807503,187630000,124.592552
"43","AAPL","Apple Inc.",2020-08-31,127.580002,131,126,129.039993,225702700,128.817749
"44","AAPL","Apple Inc.",2020-09-01,132.759995,134.800003,130.529999,134.179993,152470100,133.948898
"45","AAPL","Apple Inc.",2020-09-02,137.589996,137.979996,127,131.399994,200119000,131.173691
"46","AAPL","Apple Inc.",2020-09-03,126.910004,128.839996,120.5,120.879997,257599600,120.671806
"47","AAPL","Apple Inc.",2020-09-04,120.07,123.699997,110.889999,120.959999,332607200,120.751671
"48","AAPL","Apple Inc.",2020-09-08,113.949997,118.989998,112.68,112.82,231366600,112.625694
"49","AAPL","Apple Inc.",2020-09-09,117.260002,119.139999,115.260002,117.32,176940500,117.117943
"50","AAPL","Apple Inc.",2020-09-10,120.360001,120.5,112.5,113.489998,182274400,113.29454
"51","AAPL","Apple Inc.",2020-09-11,114.57,115.230003,110,112,180860300,111.807106
"52","AAPL","Apple Inc.",2020-09-14,114.720001,115.93,112.800003,115.360001,140150100,115.161316
"53","AAPL","Apple Inc.",2020-09-15,118.330002,118.830002,113.610001,115.540001,184642000,115.341011
"54","AAPL","Apple Inc.",2020-09-16,115.230003,116,112.040001,112.129997,154679000,111.936882
"55","AAPL","Apple Inc.",2020-09-17,109.720001,112.199997,108.709999,110.339996,178011000,110.149963
"56","AAPL","Apple Inc.",2020-09-18,110.400002,110.879997,106.089996,106.839996,287104900,106.655991
"57","AAPL","Apple Inc.",2020-09-21,104.540001,110.190002,103.099998,110.080002,195713800,109.890411
"58","AAPL","Apple Inc.",2020-09-22,112.68,112.860001,109.160004,111.809998,183055400,111.617432
"59","AAPL","Apple Inc.",2020-09-23,111.620003,112.110001,106.769997,107.120003,150718700,106.935509
"60","AAPL","Apple Inc.",2020-09-24,105.169998,110.25,105,108.220001,167743300,108.033615
"61","AAPL","Apple Inc.",2020-09-25,108.43,112.440002,107.669998,112.279999,149981400,112.086624
"62","AAPL","Apple Inc.",2020-09-28,115.010002,115.32,112.779999,114.959999,137672400,114.762009
